OS,screenW,workerid,Browser,screenH
Windows,1920,0,Chrome,1080
Windows,1360,1,Chrome,768
Windows,1920,2,Chrome,1080
Windows,1920,3,Chrome,1080
Mac,1440,4,Chrome,900
Windows,1366,5,Chrome,768
Windows,1366,6,Chrome,768
Windows,1920,7,Chrome,1080
Windows,1920,8,Chrome,1200
Windows,1364,9,Chrome,768
Windows,1920,10,Chrome,1080
Windows,1739,11,Chrome,979
Windows,1366,12,Chrome,768
Windows,1536,13,Chrome,864
Windows,1600,14,Chrome,900
Windows,1920,15,Chrome,1080
Windows,1366,16,Chrome,768
Windows,1280,17,Chrome,1024
Windows,1920,18,Chrome,1080
Mac,1536,19,Chrome,960
Windows,1920,20,Chrome,1080
Windows,1920,21,Chrome,1080
Windows,1440,22,Chrome,960
Mac,1280,23,Chrome,800
Mac,1280,24,Chrome,800
Windows,2133,25,Firefox,1200
Windows,1920,26,Chrome,1080
Windows,1920,27,Chrome,1080
Windows,1366,28,Chrome,768
Windows,1366,29,Chrome,768
Windows,1536,30,Chrome,1024
Windows,1467,31,Firefox,825
Windows,2048,32,Chrome,1152
Windows,1920,33,Chrome,1080
Windows,1920,34,Chrome,1080
Windows,1920,35,Chrome,1080
Windows,1536,36,Chrome,864
Windows,1280,37,Firefox,720
Windows,1536,38,Chrome,864
Windows,2048,39,Chrome,1152
Windows,1920,40,Chrome,1080
Mac,1440,41,Chrome,900
Windows,1600,42,Chrome,900
Windows,1280,43,Chrome,1024
Windows,1366,44,Chrome,768
Windows,1600,45,Chrome,900
Windows,2560,46,Chrome,1440
Windows,1680,47,Chrome,1050
Windows,1600,48,Chrome,900
Mac,1280,49,Chrome,800
Linux,1600,50,Chrome,900
Windows,1920,51,Chrome,1080
Windows,1600,52,Chrome,900
Windows,1536,53,Chrome,864
Windows,1366,54,Chrome,768
Windows,1920,55,Chrome,1080
Windows,1536,56,Chrome,864
Windows,1360,57,Chrome,768
Mac,1920,58,Chrome,1080
Windows,1366,59,Chrome,768
Windows,1366,60,Chrome,768
Windows,1920,61,Chrome,1080
Windows,1366,62,Chrome,768
Windows,1366,63,Chrome,768
Windows,1366,64,Chrome,768
Windows,1366,65,Chrome,768
Windows,1440,66,Chrome,960
Windows,1440,67,Chrome,900
Mac,1440,68,Chrome,900
Windows,1680,69,Chrome,1050
Windows,1280,70,Chrome,720
Windows,1280,71,Chrome,720
Windows,1366,72,Chrome,768
Windows,1366,73,Chrome,768
Windows,3440,74,Chrome,1440
Mac,1440,75,Chrome,900
Linux,1920,76,Chrome,1080
Windows,1366,77,Chrome,768
Windows,1600,78,Firefox,900
Windows,1440,79,Firefox,900
Windows,1920,80,Firefox,1080
Windows,1680,81,Chrome,1050
Linux,1536,82,Chrome,864
Windows,1366,83,Chrome,768
Windows,2560,84,Chrome,1440
Windows,1920,85,Chrome,1080
Windows,1366,86,Chrome,768
Windows,1600,87,Chrome,1200
Windows,1920,88,Chrome,1080
Windows,1143,89,Firefox,670
Windows,1536,90,Chrome,864
Windows,1280,91,Chrome,1024
Windows,1366,92,Firefox,768
Windows,1366,93,Chrome,768
Windows,1366,94,Chrome,768
Windows,1600,95,Firefox,900
Windows,1440,66,Chrome,960
Windows,1280,96,Chrome,720
Windows,1920,97,Chrome,1080
Mac,1440,98,Chrome,900
Mac,1280,99,Chrome,800
Mac,1280,100,Chrome,800
Windows,1366,101,Chrome,768
Mac,1920,102,Chrome,1080
Windows,1368,103,Chrome,912
Windows,1280,104,Chrome,720
Windows,1920,105,Chrome,1080
Windows,1366,106,Chrome,768
Windows,1536,107,Chrome,864
Windows,1366,108,Chrome,768
Windows,1920,109,Chrome,1080
Windows,1536,110,Chrome,864
Linux,1300,111,Chrome,731
Windows,1440,112,Chrome,900
Mac,1366,113,Chrome,768
Windows,1280,114,Chrome,720
Windows,1920,115,Chrome,1080
Windows,1368,116,Firefox,912
Windows,1920,117,Chrome,1080
Windows,1920,118,Chrome,1080
